schoolid,math,sci,read,minority,ses,female,public,schoolsize,urban,rural,filter_$
8745,24.3,12.02,16.06,0,-.795,0,0,500,0,0,1
8898,25.36,15,13.78,0,-.047,0,0,300,0,0,0
8902,25.81,14.6,14.04,1,.795,0,0,100,0,0,1
8924,17.46,11.98,16.83,1,-.19,1,0,500,0,0,0
14296,21.18,9.88,18.66,0,-.774,0,0,300,0,0,0
14379,26.2,13.71,14.46,1,.343,1,0,700,0,0,0
14605,22.79,17.47,18.53,0,-1.083,1,0,300,0,1,0
14894,19.49,11.25,15.34,0,-.976,1,0,300,0,0,0
24000,18.86,13.58,15.42,0,-1.487,1,1,500,0,1,0
24000,23.06,13.87,11.84,1,-1.416,1,1,500,0,1,0
24062,16.72,16.22,16.19,0,-.45,0,1,500,0,1,0
24062,20.84,13.4,16.47,1,-.625,1,1,500,0,1,1
24163,17.96,11.33,14.5,0,-1.831,0,1,700,0,1,0
24163,26.01,17.34,16.39,1,-1.128,1,1,700,0,1,0
24163,17.76,14.36,15.95,0,-.949,0,1,700,0,1,0
24190,22.48,11.15,18.14,1,-.248,0,1,700,0,1,0
24225,23.03,14.55,17.62,0,.177,1,1,700,0,1,0
24244,20.87,10.7,16.24,0,-1.028,0,1,300,0,0,0
24244,19.18,10.32,16.24,0,-.719,0,1,300,0,0,0
24244,23.7,15.56,18.52,0,-.796,0,1,300,0,0,0
24244,23.52,13.29,20.99,0,-1.807,0,1,300,0,0,0
24269,24.87,16.1,18.96,0,-.493,0,1,700,0,0,0
24269,25.59,15.47,17.46,0,.155,0,1,700,0,0,0
24323,22.81,15.44,20.55,0,-1.064,0,1,500,0,1,0
24323,19.76,12.96,12.85,1,-.085,0,1,500,0,1,0
24327,18.25,13.15,22.09,0,-1.06,1,1,900,0,0,0
24390,21.88,13.02,23.25,0,-1.067,1,1,1400,0,0,0
24459,21.95,10.21,12.88,0,-.908,0,1,500,0,1,0
24459,21.06,12.13,20.53,0,.433,1,1,500,0,1,0
24543,22.45,12.54,12.54,0,-.319,1,1,1100,0,0,0
24571,25.14,11.99,17.34,0,-.251,1,1,500,0,0,1
24680,24.76,15.24,20.74,0,-2.226,1,1,300,0,1,0
24680,27.76,12.5,13.99,0,-1.191,0,1,300,0,1,0
24820,18.66,10.06,16.19,1,-1.029,0,1,300,0,1,0
24828,21.87,11.26,16.33,0,-.162,0,1,1400,1,0,0
24856,17.31,9.96,13.56,1,-1.266,1,1,700,1,0,1
24948,24.81,13.52,18.79,1,-.319,0,1,500,1,0,0
24948,23.98,11.68,12.37,1,-.615,1,1,500,1,0,0
25076,24.13,12.11,16.98,1,-1.383,1,1,900,1,0,0
25095,16.81,11.4,27.27,0,-1.17,1,1,300,0,1,0
25101,29.11,13.8,17.33,0,-.037,0,1,1100,0,0,0
25107,19.04,14.51,25.37,1,-1.225,0,1,300,0,1,0
25163,30.02,14.3,16.13,1,-1.741,0,1,1100,1,0,0
25163,18.07,12.93,18.42,1,-.623,1,1,1100,1,0,0
25173,30.68,13.15,14.06,1,-.312,0,1,700,0,0,0
25224,25.78,12.6,17.85,1,.613,0,1,1400,1,0,1
25242,20.79,12.31,21.51,1,-.731,0,1,300,0,1,0
25256,32.93,12.88,14.25,0,.512,0,1,300,0,1,0
25256,23.73,17.26,18.05,1,-1.591,0,1,300,0,1,0
25256,19.4,10.96,19.67,1,-.717,0,1,300,0,1,0
25256,20.34,16.96,12.64,1,-1.217,0,1,300,0,1,0
25297,26.36,11.41,14.99,0,-1.303,0,1,300,0,1,0
25313,23.59,13.49,19.58,1,-.743,1,1,300,0,1,0
25360,21.6,10.97,11.12,1,-1.352,1,1,1400,1,0,0
25364,19.11,12.29,13.93,0,-1.045,0,1,100,0,0,0
25400,16.58,11.93,15.35,1,-1.327,1,1,700,0,1,1
25402,21.26,13.61,19.88,1,-.919,1,1,700,1,0,0
25402,21.65,13.05,18.23,1,-1.2,1,1,700,1,0,0
25404,19.42,9.72,17.93,1,-.698,0,1,500,1,0,0
25404,19.42,17.25,12.54,1,-1.103,0,1,500,1,0,0
25454,19.25,10.69,15.1,1,-.652,0,1,300,0,1,0
25454,25.7,12.21,12.75,1,-1.395,0,1,300,0,1,0
25454,27.06,15.69,15,1,-1.404,0,1,300,0,1,0
25460,26.62,16.91,17.05,1,.509,1,1,500,0,0,0
25460,22.43,10.65,12.33,0,-1.352,1,1,500,0,0,0
25469,21.09,10.83,15.55,0,-.213,0,1,300,0,0,0
25506,19.49,14.68,16.95,0,.087,1,1,700,0,0,0
25580,22.02,13.2,15.96,0,.304,0,1,300,1,0,0
25580,18.32,11.01,16.19,1,-.794,1,1,300,1,0,0
25618,24.97,12.68,18.81,1,-2.065,1,1,900,1,0,0
25618,25.63,13.46,11.18,1,-.938,0,1,900,1,0,0
25645,20.49,14.05,14.4,1,-1.17,0,1,500,0,0,0
25658,18.55,10.26,12.34,1,-.774,0,1,700,1,0,0
25702,21.24,13.2,25.8,1,-1.042,0,1,1100,1,0,0
25702,22.27,15.36,18.91,1,-.617,1,1,1100,1,0,0
25724,22.95,15.15,17.52,1,-1.322,0,1,700,0,0,0
25745,21.34,17.63,16.14,0,.16,0,1,1100,1,0,0
25761,23.9,14.93,14.47,1,-.113,0,1,500,0,0,0
25834,27.6,16.73,11.05,1,-.951,0,1,900,1,0,0
25834,24.42,14.82,17.47,1,-1.158,0,1,900,1,0,0
25835,25.56,12.69,15.43,1,-1.999,1,1,700,1,0,0
25873,19.76,10.79,13.08,1,-1.685,0,1,500,0,1,0
25894,21.76,11.47,18.26,1,-.075,1,1,900,1,0,0
25894,19.68,13.55,25.63,1,-.481,1,1,900,1,0,0
25894,25.68,11.71,13.98,1,-1.564,1,1,900,1,0,0
25958,23.24,10.35,15.9,1,-1.956,0,1,900,1,0,0
25958,19.62,12.69,14.52,0,-.319,1,1,900,1,0,0
25982,32.04,12.79,13.57,0,-.332,0,1,700,0,0,0
25995,21.22,14.76,19.03,0,-1.352,1,1,1100,0,0,0
26285,29.84,16.02,13.28,0,.738,0,0,500,0,0,0
29573,28.61,14.58,15.83,0,1.608,0,0,100,1,0,0
34614,20.88,14.48,18.38,0,-.863,0,0,300,0,1,0
45019,24.45,10.85,18.31,0,.079,0,1,300,0,1,0
45041,20.82,12.3,19.23,1,-2.226,1,1,100,1,0,0
45087,19.87,12.12,17.28,1,-1.664,1,1,700,1,0,0
45110,21.55,14.42,21.44,0,-.248,1,1,700,0,0,0
45164,19.63,11.85,12.04,1,-.572,1,1,500,0,0,0
45190,26.45,13.28,15.24,1,.978,1,1,1400,0,0,0
45224,18.78,13.67,17.96,0,.237,0,1,1400,0,0,0
45255,20.86,14.31,20.62,0,-.475,1,1,700,0,0,0
45270,26.89,11.07,15.73,1,-1.235,0,1,100,0,1,0
45287,23,13.53,18.35,1,-.29,1,1,700,1,0,0
45287,27.56,12.73,20.04,1,-.331,0,1,700,1,0,0
45301,31.17,12.4,14.74,0,-.526,0,1,700,0,0,0
45320,17.99,12.7,14.43,1,-.1,0,1,900,0,0,0
45320,24.04,12.3,24.13,1,-.195,0,1,900,0,0,0
45320,26.55,12,16.44,1,.233,0,1,900,0,0,0
45330,21.49,11.83,20.05,1,.267,1,1,1400,1,0,0
45385,22.1,13.96,16.91,1,-.252,0,1,1400,1,0,0
45423,16.3,12.48,17.31,0,-.324,0,1,700,0,0,0
45441,22.05,12.86,13.48,1,-1.418,1,1,900,0,0,0
45446,17.09,10.19,16.21,1,-.406,0,1,700,0,1,0
45455,22.12,12.98,12.34,0,-.727,0,1,500,0,0,0
45476,18.2,10.82,13.61,1,-.269,1,1,1400,0,0,0
45502,19.81,14.18,17.92,1,-.864,0,1,500,1,0,0
45502,19.95,11.58,14,1,-.699,1,1,500,1,0,0
45506,20.53,15.15,18.41,1,-1.629,1,1,700,0,0,0
45506,18.47,16.05,15.61,1,.732,1,1,700,0,0,0
45509,26.59,15.55,15.57,0,-.393,0,1,900,0,0,0
45521,34,10.82,11.45,0,1.312,0,1,700,0,0,1
45531,25.33,11.65,14.39,1,.325,1,1,500,0,0,0
45554,28.8,12.36,15.77,0,-.523,1,1,1100,0,0,0
45555,20.74,14.8,21.49,0,-.411,0,1,700,1,0,0
45559,22.84,10.53,14.56,0,-1.477,1,1,500,0,1,1
45567,18.49,11.47,15.64,1,-.748,1,1,500,0,0,0
45567,25.77,11.67,18.92,1,.108,0,1,500,0,0,0
45567,22.57,11.23,20.19,1,.2,0,1,500,0,0,0
45615,18.49,16.26,14.19,1,-1.851,0,1,700,0,0,0
45615,26.57,13.74,16.34,1,-.905,1,1,700,0,0,1
45654,27.5,11.24,18.89,1,-1.581,0,1,1400,1,0,0
45678,23.24,15.99,14.83,1,-.625,0,1,1100,0,0,0
45678,20.26,11.06,20.38,1,-.243,1,1,1100,0,0,0
45678,18.93,9.71,16.36,1,-.991,0,1,1100,0,0,0
45686,19.49,15.05,21.05,0,-.314,0,1,300,0,1,0
45700,22.67,13.8,13.4,1,-.677,1,1,500,0,0,0
45716,27.32,15.5,17.45,1,-1.016,0,1,500,0,0,0
45764,23.62,16.08,16.35,1,0,1,1,1400,0,0,1
45786,25.15,15.21,15.88,1,.291,1,1,500,0,1,0
45788,24.05,17.33,17.49,1,.306,0,1,1400,0,0,0
45824,20.02,9.92,17.76,1,-.315,1,1,300,1,0,0
45824,27.5,14.11,15.28,1,-1.282,1,1,300,1,0,0
45830,21.4,11.46,22.18,0,-.195,1,1,300,0,0,0
45900,16.84,13.26,18.99,0,.788,1,1,700,1,0,0
45918,22.13,11.99,18.61,1,-1.045,0,1,900,0,1,0
45967,27.81,12.4,13.2,0,.434,0,1,500,0,0,0
45978,20.19,11.11,15.63,1,-1.289,0,1,1400,1,0,0
45978,26.31,12.47,19.45,1,-.212,1,1,1400,1,0,0
46155,24.65,12.13,18.55,1,-.043,1,0,300,1,0,0
46238,24.45,13.67,15.1,1,-.794,0,0,300,1,0,0
46238,16.64,11.46,14.33,0,.547,0,0,300,1,0,0
46301,26.96,17.14,14.59,0,-.653,1,0,100,1,0,0
46869,22.37,13.43,20.61,1,-.302,0,0,500,1,0,0
46911,21.64,18.05,20.15,0,-.624,0,0,100,1,0,1
46966,20.42,10.64,19.92,0,-.323,1,0,500,1,0,0
54002,26.57,13.31,14.39,0,1.361,0,0,300,0,0,0
54730,21.56,10.73,28.36,0,1.132,0,0,1100,1,0,0
62821,27.13,16.23,12.75,0,.765,1,0,500,1,0,0
68023,19.34,13.26,13.35,0,-1.024,0,1,700,1,0,0
68060,22.95,17.13,17.36,0,-1.991,0,1,700,0,1,0
68130,23.64,15.31,20.57,1,.312,1,1,700,0,0,0
68150,18.61,9.97,16.76,0,-.868,1,1,700,0,0,0
68180,21.14,9.76,13.67,1,-1.315,1,1,1400,1,0,0
68180,23.19,16.15,17.49,0,.299,0,1,1400,1,0,0
68180,20.45,10.18,12.34,1,-1.616,0,1,1400,1,0,0
68194,21.35,12.92,13.8,1,-.497,1,1,500,0,0,0
68201,22.26,14.26,18.79,0,.21,1,1,700,0,1,0
68265,19.49,12,19.63,1,-.488,0,1,700,0,1,1
68267,19.34,12.19,11.4,1,-1.391,1,1,1100,0,0,0
1846,31.9,19.35,24.43,0,-.037,1,0,500,1,0,0
7029,29.77,15.5,27.45,0,-.02,0,1,500,0,1,0
7029,21.32,21.1,23.19,0,-1.255,1,1,500,0,1,0
7042,22.27,20.77,20.51,0,-.012,1,1,300,0,0,0
7089,20.28,18.06,24.88,0,-.1,1,1,500,0,0,0
7089,30.46,17.22,28.6,0,-.118,0,1,500,0,0,0
7090,26.5,15.26,20.37,1,-1.13,1,1,500,1,0,0
7094,35.99,21.91,16.34,0,.126,1,1,1400,0,0,0
7096,32.93,17.37,23.26,0,-.466,0,1,100,0,1,0
7103,28.6,20.1,21.29,1,.573,0,1,500,1,0,0
7103,24.7,16.02,21.79,1,.557,1,1,500,1,0,0
7106,27.13,15.69,21.34,0,.414,0,1,300,0,0,0
7220,26.33,17.72,25.59,0,-1.507,0,1,300,0,1,0
7239,27.47,18.36,21.1,0,-.217,0,1,500,0,0,0
7253,29.03,15.96,29.16,0,-.465,1,1,700,0,0,0
7253,32.65,13.26,22.7,0,-.025,0,1,700,0,0,1
7285,31.47,17.87,22.8,1,-.392,1,1,500,0,0,0
7298,24.59,15.27,30.35,1,-1.749,1,1,500,1,0,0
7314,26.28,18.28,19.76,0,.162,1,1,300,0,0,0
7314,45.54,15.59,16.11,0,-.049,0,1,300,0,0,0
7319,28.92,19.64,24.06,1,-.502,1,1,500,0,0,0
7319,23.09,16.19,22.63,1,.059,1,1,500,0,0,0
7320,23.28,15.84,26.25,0,-.754,1,1,100,0,1,0
7332,37.83,18.64,17.52,1,-.416,1,1,500,1,0,0
7333,30.1,13.74,19.32,0,-.286,1,1,900,0,0,0
7334,37.56,17.8,17.93,0,.009,0,1,300,0,0,0
7340,26.45,17.05,21.12,0,-.321,1,1,300,0,1,0
7357,30.94,16.28,24.97,0,-.43,1,1,900,0,0,0
7357,20.04,14.49,28.37,0,.271,1,1,900,0,0,0
7395,30.54,15.19,22.51,0,.666,0,1,700,0,0,0
7403,29.81,17.33,22.61,0,-.027,1,1,1400,1,0,0
7403,34.58,17.43,21.88,1,-1.395,0,1,1400,1,0,0
7415,23.87,21.02,19.65,1,-.037,1,1,500,0,0,0
7427,22.16,17.17,28.78,0,.165,1,1,300,0,0,0
7437,24.62,14.41,32.03,1,-1.292,1,1,900,0,0,0
7437,32.87,16.59,25.11,1,-1.432,1,1,900,0,0,0
7437,28.77,14.68,20.86,0,.194,0,1,900,0,0,0
7440,31.65,20.66,24.24,0,-.493,0,1,300,0,1,0
7454,30.37,15.65,17.96,0,-.274,0,1,700,0,0,0
7454,31.2,16.71,25.87,0,.379,1,1,700,0,0,0
7475,29.32,12.77,21.47,0,-.448,1,1,700,0,0,0
7494,32.41,18.32,23.86,1,-1.292,0,1,300,0,1,0
7538,30.94,21.65,21.9,0,-.08,0,1,700,0,0,0
7557,21.93,14.02,26.97,0,-1.706,0,1,500,0,0,0
7609,26.31,19.75,20.19,0,-.573,1,1,300,0,1,0
7630,32.78,18.06,21.07,0,-.919,1,1,1400,0,1,0
7630,26.34,19.43,16.71,0,.033,0,1,1400,0,1,0
7631,27.65,19.75,28.85,0,-.398,1,1,700,0,0,0
7668,21.36,15.72,26.13,0,-1.266,1,1,500,0,0,0
7668,30.87,13.34,20.56,0,-.767,0,1,500,0,0,0
7669,34.12,16.05,23.31,1,-1.067,0,1,900,0,0,0
7716,26.8,22.6,24.75,0,-.437,1,1,500,0,1,0
7718,29.82,14.72,24.6,0,.253,1,1,500,0,0,0
7718,36.42,16,24,0,.345,1,1,500,0,0,0
7737,27.27,17.08,22.84,1,-1.168,1,1,500,1,0,0
7772,28.68,18.39,20.92,0,.018,0,1,500,0,0,0
7807,32.97,17.68,18.9,0,.316,0,1,700,0,0,0
7807,29.65,20.79,21.78,0,.087,0,1,700,0,0,0
7807,32.79,16.49,21.89,0,-.668,1,1,700,0,0,0
7814,31.6,16.57,23.6,1,-.116,1,1,700,0,0,0
7814,26.97,17.7,28.74,0,-.794,1,1,700,0,0,0
7822,42.07,19.16,14.55,0,-.246,1,1,700,0,1,0
7829,28.04,15.86,22.32,1,-1.324,1,1,500,1,0,0
7864,38.95,10.94,26.82,0,.163,1,1,500,0,0,0
7914,33.52,20.3,21.53,1,.154,0,1,900,0,0,0
7914,27.31,18.74,28.86,0,-.573,0,1,900,0,0,0
7930,25.82,15.77,25.56,0,-.064,1,1,1100,0,1,0
7941,32.34,13.37,17.46,0,.212,1,1,500,0,0,1
7979,25.01,17.99,27.32,0,.174,0,1,700,0,0,0
8046,25.76,15.99,20.21,0,-.531,0,0,100,0,0,0
8088,25.77,16.98,24.19,0,-.119,1,0,700,0,0,0
8672,19.43,17.77,24.31,0,-.752,1,0,500,0,0,0
8700,28.34,18.89,23.98,1,-1.006,0,0,500,0,0,0
8700,27.96,12.33,21.38,1,-.783,0,0,500,0,0,0
8924,34.4,16.3,23.33,1,.818,1,0,500,0,0,0
8945,32.32,16.59,27.82,0,-.677,1,0,300,0,1,0
8968,33.15,17.21,24.46,0,-.516,0,0,100,0,1,0
8968,26.68,16.63,20.68,0,.671,1,0,100,0,1,0
14296,34.1,14.31,20.96,0,-.212,1,0,300,0,0,0
14308,27.56,16.24,25.41,0,.164,0,0,500,0,1,0
14308,24.36,17.23,26.1,0,-.048,1,0,500,0,1,0
14643,31.13,12.86,29.06,0,.443,0,0,300,0,0,0
14778,24.24,17.51,25.02,1,-.634,1,0,300,0,0,0
14778,22.34,17.59,26.9,0,-.221,1,0,300,0,0,0
14778,37.49,14.93,17.91,0,1.779,1,0,300,0,0,0
14813,22.45,12.76,26.45,0,.939,1,0,100,0,0,0
24062,28.47,18.81,15.53,1,.086,0,1,500,0,1,0
24110,27.03,18.83,25.3,0,-.072,1,1,300,0,0,0
24127,28.41,15.04,21.03,1,-1.314,1,1,500,0,1,0
24184,25.28,18.88,28.13,0,-.672,1,1,1400,0,0,0
24225,28.8,22.21,24.3,0,-.397,1,1,700,0,1,0
24240,26.06,13.73,29.99,0,-.414,0,1,1400,0,1,0
24240,22.45,23.69,29.5,0,.434,0,1,1400,0,1,0
24290,20.94,17.64,24.45,0,-.343,1,1,300,0,1,0
24323,31.68,15.63,22.45,0,.852,0,1,500,0,1,0
24376,31.73,18.18,22.02,0,-.26,1,1,300,0,1,0
24394,25,17.89,24.67,0,.397,1,1,300,0,1,0
24474,29.81,19.67,21.45,0,.004,0,1,500,0,0,0
24551,26.34,17.61,20.3,1,-1.051,0,1,900,0,0,0
24551,31.41,14.13,20.44,1,-.248,1,1,900,0,0,0
24571,24.84,20.77,19.05,0,-.674,0,1,500,0,0,1
24772,27.17,17.44,32,0,-1.332,1,1,700,0,1,0
24796,28.72,18.88,28.21,0,-1.687,1,1,500,0,1,0
24805,23.28,14.96,25.85,1,-1.275,0,1,900,0,1,0
24805,30.38,15.8,20.47,1,1.659,0,1,900,0,1,0
24813,34.34,20.53,18.58,0,-.698,0,1,900,1,0,0
24820,24.49,15.01,23.83,1,-1.339,0,1,300,0,1,0
24828,26.21,16.54,22.56,0,-.623,1,1,1400,1,0,0
24828,31.42,11.65,20.1,0,.56,1,1,1400,1,0,0
25008,25.85,18.18,23.32,1,.348,1,1,1100,0,0,0
25064,26.59,18.44,25.78,1,.279,0,1,700,0,0,0
25067,26.01,13.72,22.66,0,-.372,1,1,300,0,0,0
25074,35.97,15.47,25.32,1,-.082,1,1,1400,1,0,0
25095,28.01,18.24,25.51,0,.129,0,1,300,0,1,0
25122,23.09,19.68,27.29,0,.246,0,1,900,0,0,0
25130,24.86,15.8,26.8,1,-.122,0,1,1100,1,0,0
25163,25.28,20.05,31.36,0,.617,0,1,1100,1,0,0
25173,27.37,16.81,29.75,1,-.212,0,1,700,0,0,0
25173,34.04,18.23,24.9,1,.573,0,1,700,0,0,0
25227,32.34,17.67,27.49,0,-1.053,1,1,900,1,0,0
25256,25.26,14.21,25.43,1,-1.399,1,1,300,0,1,0
25261,21.67,20.22,25.1,1,-.072,0,1,700,0,0,0
25267,25.24,18.31,19.42,0,.51,1,1,900,0,0,0
25360,36.9,15.8,18.14,1,-.6,0,1,1400,1,0,0
25360,28.69,18.85,16.55,1,.129,0,1,1400,1,0,0
25394,34.14,16.81,24.04,0,.059,0,1,500,0,1,0
25441,30.19,16.62,25.02,0,-.677,0,1,300,0,1,0
25454,24.92,20.76,29.58,0,-.365,1,1,300,0,1,0
25456,29.66,17.75,25.7,0,.194,0,1,300,0,1,0
25463,32.42,15.31,20.13,1,.136,1,1,1400,0,1,0
25530,21.97,20.56,27.09,1,-1.238,1,1,900,0,1,0
25531,22.97,17.24,22.85,0,-1.245,0,1,300,0,1,0
25580,23.38,19.64,33.52,1,-1.352,1,1,300,1,0,0
25644,32.72,17.54,21.48,0,.106,0,1,700,0,0,0
25644,29.23,21.7,22.68,0,-.579,0,1,700,0,0,0
25804,27.64,15.47,21.05,1,-1.741,1,1,1100,1,0,0
25810,29.1,13.39,21.71,0,-.072,1,1,500,0,0,1
25825,27.25,16.34,28.66,1,-.542,1,1,1400,1,0,0
25834,28.72,17.33,25.76,1,.014,1,1,900,1,0,0
25848,24.85,18.44,19.77,1,-.154,0,1,900,1,0,0
25848,27.99,16.83,19.13,1,-1.144,1,1,900,1,0,1
25990,23.35,18.97,23.55,0,-.262,0,1,500,0,1,0
26285,35.31,17.87,19.02,0,1.18,0,0,500,0,0,0
26597,29.37,16.09,18.1,0,.544,0,0,100,0,1,0
29002,29.91,18.03,19.29,0,.309,1,0,300,0,1,0
29066,30.54,19.1,21.05,0,-.124,1,0,300,0,1,0
29146,33.06,13.49,28.81,0,.368,1,0,700,0,0,0
29146,24.88,18.6,19.34,0,.371,0,0,700,0,0,0
29357,28.82,16.85,28.05,0,.285,1,0,300,1,0,0
29358,27.36,14.27,22.94,0,1.236,1,0,100,1,0,0
29545,35.83,15.84,18.44,0,1.436,1,0,700,1,0,0
34369,31.81,13.11,18.81,0,.757,0,0,500,0,0,1
45019,42.36,11.65,15.39,0,.099,0,1,300,0,1,0
45033,35.65,17.2,18.25,0,.56,0,1,500,0,0,0
45036,23.28,25.88,16.67,0,1.209,0,1,900,0,0,0
45041,33.74,17.4,23.43,1,-.802,1,1,100,1,0,0
45087,30.03,16.95,24.11,0,-.043,0,1,700,1,0,0
45132,29.82,18.15,17.93,1,-.321,1,1,700,0,0,0
45164,29.01,17.35,29.92,1,-.437,1,1,500,0,0,0
45197,29.63,14.97,22.27,1,-1.089,1,1,1100,1,0,0
45197,32.99,13.29,20.24,1,-1.205,0,1,1100,1,0,0
45227,32.04,12.61,19.28,1,-1.582,1,1,1400,0,0,0
45268,22,17.21,25.49,0,-.363,1,1,700,0,0,0
45270,37.33,17.14,21.03,0,.279,0,1,100,0,1,0
45270,27.53,24.44,21.52,0,.528,0,1,100,0,1,0
45270,41.47,18.12,17.22,0,.412,0,1,100,0,1,1
45301,37.19,12.86,15.72,1,1.112,1,1,700,0,0,0
45318,23.07,15.23,24.13,1,-.591,0,1,1400,0,0,0
45330,26.89,19.15,16.19,1,-1.14,1,1,1400,1,0,0
45330,39.14,16.99,15.76,1,-1.332,1,1,1400,1,0,0
45338,27.49,24.66,13.07,0,-.126,0,1,100,0,1,1
45350,25.12,18.07,28.3,0,-.674,1,1,900,0,0,0
45446,30.64,22.3,20.65,1,-.525,0,1,700,0,1,0
45452,42.78,15.83,16.5,1,-.759,0,1,1400,1,0,0
