schoolid,math,sci,read,minority,ses,female,public,schoolsize,urban,rural
46485,35.44,17.43,29.14,0,-0.107,1,0,500,1,0
68292,36.9,17.39,33.4,0,-0.275,1,1,500,0,1
45567,25.57,15.19,19.85,0,0.028,0,1,500,0,0
7914,27.31,18.74,28.86,0,-0.573,0,1,900,0,0
45476,25,18.51,24.53,1,-0.589,1,1,1400,0,0
7725,19.37,12.53,17.26,0,-0.438,1,1,300,0,0
46485,32.61,22.54,23.59,0,-0.113,0,0,500,1,0
7860,20.39,12.54,16.08,0,-0.57,0,1,700,0,0
25520,32.49,16.16,20.83,0,0.358,0,1,900,0,1
25615,21.18,19.68,19.87,1,-1.267,0,1,900,1,0
25667,17.86,10.74,14.04,0,-1.102,1,1,1100,1,0
25088,66.59,26.15,42.22,1,1.552,0,1,700,0,0
7269,45.93,30.04,33.2,0,0.681,1,1,500,1,0
45689,37.15,17.76,20.89,1,-0.771,1,1,900,0,0
62177,52.01,27.36,42.63,0,1.496,1,0,100,0,0
7893,52.08,14.82,24.88,0,-0.522,1,1,500,0,0
7979,23.36,13.78,22.85,0,-0.623,0,1,700,0,0
45994,34.4,19.57,25.44,0,-0.087,1,1,700,0,0
7434,23.7,13.24,17.9,1,-0.369,1,1,500,1,0
29394,37.5,21.12,29.4,0,1.05,1,0,500,1,0
45999,64.5,27.23,32.9,1,0.256,0,1,300,0,0
25364,19.54,11.52,20.91,0,-1.332,1,1,100,0,0
45064,20.86,9.56,12.03,0,-0.073,0,1,100,0,0
25877,57.2,15.82,42.22,0,1.137,1,1,300,0,1
54423,43.48,23.13,38.75,0,1.464,1,0,700,1,0
7860,27.69,20.08,21.87,0,0.036,0,1,700,0,0
45900,18.54,24.22,30.28,0,0.428,0,1,700,1,0
62821,39.94,20.53,34.33,0,0.651,0,0,500,1,0
46540,44.22,18.07,32.45,0,0.613,1,0,500,1,0
25297,24.42,13.12,17.96,0,-0.921,1,1,300,0,1
25716,42.02,21.68,31.43,0,0.102,0,1,300,0,0
24813,26.71,18.82,29.29,0,-0.513,1,1,900,1,0
7373,28.49,16.91,24.88,0,-0.741,1,1,300,0,1
45134,46.11,20.41,29.79,0,0.136,0,1,500,0,0
2888,44.99,22.52,27.28,0,-0.919,1,0,700,0,0
46344,35.76,23.14,28.4,0,-0.399,0,0,500,1,0
24571,29.43,18.35,18.73,0,0.117,1,1,500,0,0
25261,18.08,11.81,18.21,1,0.091,0,1,700,0,0
45446,33.58,14.9,31.83,0,-0.145,1,1,700,0,1
25256,34.46,14.7,26.14,1,-0.395,1,1,300,0,1
34786,25.6,20.51,26.81,0,-0.295,0,0,100,0,0
7096,26.79,17.45,22.79,0,-0.789,1,1,100,0,1
7369,56.7,28.61,35.44,0,0.087,0,1,500,0,1
46344,49.06,14.4,34.62,0,1.114,1,0,500,1,0
29358,27.36,14.27,22.94,0,1.236,1,0,100,1,0
7586,34.71,17.55,30.03,0,-0.52,1,1,500,0,1
14643,36.8,15.48,29.74,0,-0.546,1,0,300,0,0
25995,25.77,13.07,17.46,0,-0.286,1,1,1100,0,0
25580,21.97,18.32,14.48,0,-0.174,0,1,300,1,0
46503,40.68,19.87,24.55,1,0.115,0,0,300,1,0
54038,49.56,23.52,31.95,0,1.394,1,0,900,1,0
45637,17.79,10.89,16.94,1,-1.02,1,1,1400,0,0
45271,23.86,12.77,24.17,0,-0.996,1,1,500,1,0
46417,34.23,14.85,32.9,0,0.206,1,0,900,1,0
14426,48.18,23.35,42.22,0,0.703,1,0,100,0,0
7474,50.16,22.2,38.44,0,0.434,0,1,300,0,1
54730,34.51,11.38,23.66,1,1.839,0,0,1100,1,0
14643,43.09,20.37,24.94,0,0.476,1,0,300,0,0
45183,39.07,16.83,38.03,0,0.638,0,1,900,1,0
25012,28.16,10.7,15.81,1,-1.073,1,1,900,0,1
7658,33.09,11.27,20.9,1,-1.664,1,1,900,1,0
25644,33.01,16.88,17.01,1,-1.97,1,1,700,0,0
25765,34.3,22.36,27.81,1,-0.925,0,1,500,0,1
29357,34.62,21.26,18.51,0,0.804,0,0,300,1,0
54127,48.04,16.22,22.12,0,1.183,1,0,700,1,0
7103,21.21,10.59,13.04,1,-2.414,1,1,500,1,0
45127,45.24,21.36,25.68,1,-1.053,0,1,300,0,1
68042,34.97,18.59,23.33,1,-0.677,0,1,1100,0,1
68135,35.38,18.09,16.95,1,0.423,0,1,900,0,0
29999,46.63,20.13,32.09,0,1.552,1,0,500,0,0
68262,30.36,21.1,24.62,0,0.379,0,1,900,0,1
45555,37.5,21.41,25.06,0,0.533,1,1,700,1,0
26280,63.62,31.72,43.43,0,1.204,0,0,300,0,0
45567,47.48,24.31,40.14,0,-0.062,1,1,500,0,0
34369,46.97,29.58,32.09,0,0.298,1,0,500,0,0
45320,49.16,17.65,31.74,1,-0.442,1,1,900,0,0
25051,19.49,14.67,19.1,1,-1.099,0,1,1400,0,0
25977,29.11,18.27,27.29,1,-1.205,0,1,900,1,0
7472,22.48,12.2,24.09,0,0.561,1,1,500,0,0
45686,46.18,17.23,28.21,0,0.414,1,1,300,0,1
14894,30.48,14.78,25.74,0,0.829,0,0,300,0,0
29814,41.21,22.54,31.15,0,0.373,1,0,300,1,0
25740,37.21,11.5,28.81,0,-1.249,0,1,300,0,1
45446,20.6,13.05,16.78,0,-1.027,0,1,700,0,1
25267,50.7,27.61,29.29,0,0.236,1,1,900,0,0
26323,57.24,27.53,43.43,0,1.359,1,0,300,0,0
25394,36.94,23.08,26.4,0,-0.393,0,1,500,0,1
7253,29.13,23.94,29.98,0,0.355,1,1,700,0,0
24174,21.54,10.4,13.09,0,-0.97,1,1,700,0,1
25400,38.6,23.42,40.35,0,0.919,0,1,700,0,1
26238,56.62,24,34.77,0,1.608,1,0,900,0,0
7109,39.43,22.35,33.97,0,0.533,1,1,500,0,1
7230,24.56,17.28,16.13,1,-0.713,1,1,700,1,0
25723,19.86,17.41,15.64,1,-1.154,0,1,700,0,1
8745,19.65,13.41,23.45,0,0.035,1,0,500,0,0
45223,22.69,15.77,15.2,0,-0.331,0,1,500,0,0
7441,30.82,11.76,21.91,0,-1.749,0,1,300,0,1
45497,21.97,11.52,11.66,1,-0.516,1,1,900,0,0
14778,22.34,17.59,26.9,0,-0.221,1,0,300,0,0
24083,19.03,10.24,17.71,1,-0.059,0,1,500,1,0
54932,28.23,20.48,15.87,0,0.014,0,0,700,0,0
24991,28.69,14.97,20.26,0,-1.189,1,1,700,0,1
7591,23.5,13.3,11.69,0,-0.117,0,1,500,1,0
57136,21.16,13.8,21.72,1,-0.213,1,0,300,0,0
25450,32.57,19.74,29.7,1,-0.524,1,1,500,0,0
7438,27.3,13.38,18.13,1,-1.176,0,1,1400,1,0
68030,35.42,16.2,18.53,1,-1.168,0,1,900,1,0
25088,62.26,30.01,43.83,0,0.462,0,1,700,0,0
45540,26.49,12.79,24.35,1,-1.181,1,1,500,0,0
62596,56.24,25.4,35.56,0,1.394,1,0,700,1,0
68194,36.52,18.41,33.67,1,-1.151,0,1,500,0,0
25702,29.69,16.44,29.01,1,-1.08,1,1,1100,1,0
24163,37.18,24.85,26.33,0,0.98,0,1,700,0,1
7194,42.86,15.37,21.94,0,-0.372,0,1,300,0,1
47270,30.17,14.04,18.59,0,0.122,1,0,500,0,0
26285,59.3,27.85,40.08,0,0.808,0,0,500,0,0
46301,38.6,19.06,31.01,0,0.356,1,0,100,1,0
7814,37.35,17.19,14.83,0,0.479,0,1,700,0,0
7591,21.77,10.96,16.01,0,-0.346,1,1,500,1,0
6442,34.06,17.13,32,1,-0.05,1,0,300,0,0
25810,20.38,10.43,14.89,0,-0.046,0,1,500,0,0
6518,50.47,22.04,35.09,0,1.176,0,0,300,1,0
7108,26.9,16.44,15.65,0,-0.278,1,1,700,0,1
7625,20.86,13.11,15.53,1,-0.978,0,1,700,0,1
45366,21.34,12.91,13.5,1,1.121,0,1,1100,1,0
45417,38.77,15.04,23.75,0,-0.555,1,1,500,0,0
6868,26.71,18.23,24.96,0,-0.179,0,0,100,1,0
62360,49.94,18.72,40.47,0,0.641,1,0,1100,1,0
7803,50.96,23.45,31.48,0,-0.193,0,1,300,0,1
45567,28.82,17.03,24.1,1,0.122,1,1,500,0,0
25178,54.11,26.34,29.5,0,0.917,1,1,1100,1,0
45497,35.4,20.37,20.25,0,0.236,0,1,900,0,0
45567,46.89,19.85,29.6,0,-0.084,1,1,500,0,0
6420,43.49,21.88,40.25,0,0.57,1,0,300,0,0
8473,25.77,18.65,28.78,0,-0.246,1,0,100,0,0
45958,47.74,21.52,35.61,0,0.438,1,1,500,0,1
54888,55.23,16.31,38.66,0,1.211,1,0,700,1,0
25208,23.03,11.3,18.51,1,-0.688,1,1,900,1,0
25722,44.72,23.81,34.59,1,0.316,1,1,1400,1,0
46344,23.68,19.81,19.48,0,1.247,1,0,500,1,0
8924,18.6,14.04,15.69,1,-0.451,0,0,500,0,0
29061,34.48,18.91,36.78,0,0.651,1,0,900,1,0
24805,24.92,15.8,23.76,1,-1.293,0,1,900,0,1
45446,34.85,17.45,31.9,0,0.622,1,1,700,0,1
47377,58.41,21.79,38.69,0,0.131,1,0,300,0,0
26373,51.68,20.11,43.43,0,1.034,0,0,300,0,0
45521,53.47,15.85,27.15,0,1.779,0,1,700,0,0
8902,25.81,14.6,14.04,1,0.795,0,0,100,0,0
7109,22.29,18.57,12.84,0,0.907,0,1,500,0,1
14813,53.4,26.69,34.71,0,-0.469,1,0,100,0,0
2114,40.39,19.69,30.16,0,-0.067,0,0,700,0,0
25877,51.24,29.62,42.63,0,1.306,1,1,300,0,1
25361,29.65,12.7,16.82,0,0.958,0,1,900,1,0
7169,41.09,16.76,27.52,1,0.153,1,1,300,0,1
45132,29.28,17.71,18.42,0,-0.256,0,1,700,0,0
45301,60.52,29.83,39.6,1,0.537,0,1,700,0,0
14643,47.4,22.7,34.46,0,0.543,1,0,300,0,0
57733,43.38,16.45,43.83,0,0.446,1,0,300,0,0
7415,24.87,12.75,16.88,1,-0.875,0,1,500,0,0
8638,19.21,12.9,18.49,1,-0.286,1,0,300,0,0
25297,43.69,23.67,30.28,0,-0.287,0,1,300,0,1
7963,36.83,18.95,34.75,0,0.501,1,1,900,0,0
25064,19.34,16.68,20.64,1,-0.621,1,1,700,0,0
7230,21.33,17.78,16.59,1,-1.851,0,1,700,1,0
25580,19.79,10.82,18.98,1,-1.4,0,1,300,1,0
46922,24.45,16.99,18.43,0,-0.527,1,0,300,1,0
8972,66.59,23.52,42.22,0,1.08,1,0,300,0,0
26777,52.19,25.36,32.1,0,0.859,0,0,500,0,0
68158,25.35,19.33,25.02,0,0.102,0,1,900,0,0
14520,35.51,19.75,35.68,0,-0.169,0,0,100,0,0
68048,22.55,15.96,19.68,0,-0.496,0,1,700,1,0
45678,26.1,12.12,14.83,1,-0.014,1,1,1100,0,0
47130,64.73,29.26,40.18,0,1.286,0,0,300,0,0
7822,33.22,13.71,15.07,0,-1.074,1,1,700,0,1
25095,22.97,13.6,21.71,1,-1.657,0,1,300,0,1
45330,48.46,22.78,35.89,1,-1.647,0,1,1400,1,0
7829,29.69,12.6,18.21,1,-1.085,0,1,500,1,0
68038,53.21,29.38,37.31,0,1.131,1,1,500,0,1
25814,29.7,14.76,19.58,0,-0.114,1,1,500,0,1
25995,38.47,18.13,25.79,0,-0.646,1,1,1100,0,0
24327,18.03,12.85,15.15,1,0.381,1,1,900,0,0
8638,29.69,14.9,16.41,0,-0.343,1,0,300,0,0
68281,30.56,11.23,14.4,0,-0.206,0,1,700,0,1
34786,35.16,18.17,31.18,0,0.888,0,0,100,0,0
7625,32.42,17.51,33.36,0,-0.221,1,1,700,0,1
25645,20.49,14.05,14.4,1,-1.17,0,1,500,0,0
25074,22.96,15.2,19.15,1,-0.162,0,1,1400,1,0
45886,63.39,24.85,32.27,0,0.51,0,1,1100,0,0
25536,42.1,19.55,36.22,1,-0.056,1,1,1100,1,0
7584,40.39,15.92,23.7,0,-0.246,1,1,1100,1,0
25105,19.21,14.22,17,0,-0.149,0,1,500,0,0
7440,33.32,20.65,33.9,1,-0.504,1,1,300,0,1
8046,43.08,16.23,25.82,0,-0.307,0,0,100,0,0
25224,31.39,23.19,29.39,1,0.228,1,1,1400,1,0
24184,30.58,19.65,17.1,0,0.702,0,1,1400,0,0
45255,24.88,13.97,15.63,0,-0.787,1,1,700,0,0
45442,41.19,19.22,25.56,0,0.507,0,1,300,0,0
7725,43.81,20.26,20.7,0,1.284,0,1,300,0,0
24970,27.8,12.79,25.12,0,0.489,1,1,500,0,0
25064,29.67,21.14,32.2,0,1.284,1,1,700,0,0
7807,33.23,20.8,24.55,0,-0.364,1,1,700,0,0
54077,59.45,26.01,42.63,0,1.218,1,0,500,1,0
54730,49.16,18.2,23.51,0,1.436,1,0,1100,1,0
68030,57.87,26.68,33.02,1,-0.07,1,1,900,1,0
46891,39.53,15.64,22.64,1,1.083,1,0,500,1,0
7835,32.03,20.36,14.34,0,-0.564,0,1,300,0,1
62566,55.71,30.41,41.23,0,1.051,1,0,900,1,0
14296,55.02,21.19,30.63,0,-0.184,1,0,300,0,0
7117,25.4,10.46,16.42,1,-1.664,0,1,1400,1,0
14778,24.83,11.73,33.3,1,-0.109,0,0,300,0,0
54752,55,22.13,35.87,0,1.243,1,0,500,1,0
68137,35.16,16.64,22.19,1,0.232,1,1,500,0,1
7205,23.86,14.49,22.84,1,-0.868,0,1,700,1,0
25441,46.67,19.09,29.06,0,0.466,0,1,300,0,1
45764,20.74,20.7,23.38,0,0.259,1,1,1400,0,0
45900,19.29,12.62,15.42,1,-0.639,1,1,700,1,0
25280,27.13,21.38,21.37,0,-0.719,0,1,300,0,1
7609,55.86,28.67,39.29,0,-0.625,1,1,300,0,1
68030,39.48,14.62,36.83,1,0.382,1,1,900,1,0
14018,36.55,16.55,24.35,0,0.358,0,0,300,0,0
14894,19.49,11.25,15.34,0,-0.976,1,0,300,0,0
45441,35.54,12.2,15.53,1,-0.618,1,1,900,0,0
7403,53.39,19.78,35.12,0,-0.448,1,1,1400,1,0
25394,29.08,14.64,25.36,1,-1.072,1,1,500,0,1
29279,24.47,26.18,18.97,0,-1.477,0,0,300,1,0
14379,50.69,25.4,40.64,0,0.096,1,0,700,0,0
25321,21.11,13.97,19.27,1,-1.327,1,1,700,0,0
54330,54.76,21.4,36.85,0,0.885,1,0,700,1,0
52141,32.37,14.83,26.92,1,0.204,0,0,300,1,0
24725,54.66,22.53,28.82,0,-0.048,0,1,300,0,1
47130,60.29,24.99,29.58,0,1.044,0,0,300,0,0
7914,20.28,12.91,15.26,0,-0.689,1,1,900,0,0
24190,40.52,28.35,32.76,0,-0.818,0,1,700,0,1
25008,54.41,15.8,34.04,0,1.619,1,1,1100,0,0
45867,30.06,16.92,29.45,0,0.004,0,1,900,0,1
46869,39.96,28.68,33.78,0,-0.773,0,0,500,1,0
45366,49.99,16.95,26.56,1,0.197,0,1,1100,1,0
24062,19.9,14.34,15.55,1,-1.029,1,1,500,0,1
24589,27.42,13.54,18.49,0,0.183,0,1,700,1,0
7668,35.55,18.33,36.08,0,-0.037,1,1,500,0,0
24394,32.27,15.04,37.42,0,-1.404,1,1,300,0,1
7110,25.61,10.95,15.28,1,-1.213,1,1,700,0,1
45830,49.6,27.63,36.86,0,0.731,1,1,300,0,0
6641,43.77,19.09,41.22,0,0.96,1,0,500,1,0
2759,41.25,26.45,36.96,0,1.25,0,0,700,0,0
25745,26.93,14.33,20.91,0,0.152,1,1,1100,1,0
14954,40.83,23.19,38.75,0,0.808,0,0,700,0,0
6442,27.11,13.91,23.39,0,0.107,1,0,300,0,0
47445,39.1,17.4,38.32,0,0.028,1,0,900,0,0
68194,22.73,14.68,22.73,1,-0.2,0,1,500,0,0
45918,31.55,17.66,18.98,1,-0.703,1,1,900,0,1
47583,42.78,23.42,34.98,0,0.511,0,0,300,0,1
7219,37.32,20.54,28.83,0,0.661,1,1,100,0,1
7422,26.95,16.19,16.59,0,-0.464,1,1,500,0,0
45033,25.33,17.58,25.2,0,0.337,1,1,500,0,0
46891,19.32,12.83,19.92,0,0.187,1,0,500,1,0
24138,26.62,16.47,32.24,1,1.261,0,1,700,1,0
7094,52.33,20.78,33.91,0,1.109,1,1,1400,0,0
24856,28.05,17.29,14.08,1,-0.162,0,1,700,1,0
45861,20.06,10.33,10.72,1,-0.573,1,1,1400,1,0
45859,27.64,12.01,28.47,0,0.25,0,1,500,0,0
8700,27.96,12.33,21.38,1,-0.783,0,0,500,0,0
54538,53.17,22.37,40.86,0,1.204,0,0,500,1,0
7090,20.76,11.65,17.36,1,-0.443,0,1,500,1,0
25178,59.39,23.75,42.22,0,0.187,1,1,1100,1,0
54077,45.14,29.78,38.96,0,1.211,0,0,500,1,0
14018,48.53,29.36,35.99,0,-0.272,0,0,300,0,0
25280,48.12,22.97,25.73,0,0.395,0,1,300,0,1
45320,26.17,15.64,26.68,1,0.673,1,1,900,0,0
7671,23.52,14.12,21.42,0,-0.705,1,1,900,1,0
29545,52.03,22.88,39.6,0,1.032,1,0,700,1,0
25745,35.32,20.35,24.56,1,0.071,1,1,1100,1,0
25793,38.9,24.14,26.85,0,-0.591,0,1,500,0,0
45506,20.33,11.93,11.45,1,-1.179,0,1,700,0,0
57136,32.57,19.13,23.32,1,-0.621,0,0,300,0,0
7792,21.47,12.02,17.99,1,-1.44,1,1,900,1,0
7398,43.51,22.94,35.23,0,-0.142,1,1,700,0,0
25545,41.41,15.33,26.21,1,-0.512,0,1,500,0,1
62343,46.28,24.4,27.85,1,1.435,0,0,500,0,0
25401,46.65,16.55,22.95,0,0.359,0,1,700,0,0
24216,36.62,15.73,32.06,0,-0.319,0,1,100,0,1
24805,34.75,14.95,21.42,1,-1.405,0,1,900,0,1
54752,59.99,22.49,38.28,0,1.159,0,0,500,1,0
45476,48.66,19.62,38.03,1,-1.309,0,1,1400,0,0
14894,24.27,14.21,13.97,0,-0.041,0,0,300,0,0
7012,35.19,13.9,19.91,0,0.636,1,1,500,0,0
